PK_CAD,RAZAO_SOCIAL,FANTASIA
1018,000,"SIDNEI MENDES DE OLIVEIRA","PERFURACAO DE VIGA"
1032,000,"J M GURGEL","LOJA DO MECANICO"
2127,000,"STOCKO CONTACT BRASIL LTDA.","STOCKO CONTACT BRASIL LTDA."
1027,000,"SOMAX AUTOMACAO E SERVICOS LTDA","SOMAX"
967,000,,
1042,000,"DANIELA ARRUDA UBER","SOLASTER"
1035,000,"DATECK COMERCIO DE ELETRO ELETRONICOS LTDA","D.ATECK"
1002,000,"CRISTIANE BARCHET PINHEIRO","CASA DOS PARAFUSOS E CIA"
1061,000,"DINES JOSE DENARDIN - ME","DJ DE NARDIN MATERIAIS FORA DE LINHA PARA CONSTRUÇÃO"
997,000,"ARROW BRASIL S.A","ARROW"
1003,000,"SPRINGER CARRIER LTDA","SPRINGER CARRIER"
968,000,"A J QUEROTTI COMERCIAL DE ROLAMENTOS LTDA ME","CASA DOS ROLAMENTOS FARRAPOS"
1951,000,"METAIS BLUMENAU","METAIS BLUMENAU"
1004,000,"WS INDUSTRIA E COMERCIO DE COMPONENTES ELETRÔNICOS LTDA","OICRAM"
1022,000,"CENOFISCO CENTRO DE CAPACITACAO PROFISSIONAL LTDA","CENOFISCO"
1560,000,"MARILIA",
1036,000,"ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA.","MC DONALD'S"
1043,000,"RETRAL RECONDICIONADORA DE ENGRENAGENS E TRATORES LTDA - ME","RETRAL"
1005,000,"FREIOS CONTROIL LTDA","FREIOS CONTROIL"
1620,000,"RGA COMPONENTES",
2317,000,"AWA PRODUTORA DE FILMES LTDA","AWA FILMS"
2196,000,"LS SANTOS METALÚRGICA","EMPRESA DO GRUPO TOQUE COLOR"
976,000,"KAP COMPONENTES ELÉTRICOS LTDA","KAP"
1048,000,"OTICA GUAYBA LTDA","VIP JOALHERIA E OTICA"
1050,000,"SANDRA REGINA LIMA DUARTE ME","MARAGUA DISTRIBUIDORA DE BEBIDAS"
1047,000,"HB TRANSPORTES E LOGISTICA LTDA","TRANSITO BRASIL"
1051,000,"WEG EQUIPAMENTOS ELETRICOS S/A",
1045,000,"SIPLAS INDUSTRIA DE PLSSTICOS LTDA","SIPLAS PLASTICOS"
1805,000,"DIGÍMER PRODUTOS DE INFORMÁTICA LTDA.","DIGIMER"
981,000,"BAUMIER AUTOMATION LTDA","BAUMIER"
1041,000,"RICARDO LUIS VOGT ME","VERA VOGT EVENTOS"
982,000,"E M DA SILVA NUNES - EPP","LIVRARIA ESCOLAO"
1049,000,"EXPRESSO SANTA LUZIA LTDA","EXPRESSO SANTA LUZIA"
983,000,"DIGESSO COMERCIO DE GESSO LTDA ME","DIGESSO"
1023,000,"PETISKEIRA ALIMENTOS LTDA.","PETISKEIRA"
1038,000,"ITU COMPONENTES INDUSTRIA E COMERCIO LTDA","ITU COMPONENTES"
1039,000,"DEMONTERS MONTAGENS DE DIVISORIAS LTDA","DEMONTERS"
1007,000,"RESTAURANTE UNGARATHO LTDA","RESTAURANTE QUERENCIA"
1021,000,"RUBENS SILVEIRA DA CUNHA E CIA LTDA","MERCADO CITY"
1046,000,"EJARA DA SILVA ALVES","AMV MANUTENCAO PREDIAL"
1037,000,"SUPRILIMP SISTEMAS DE LIMPEZA LTDA","SUPRILIMP"
969,000,"ESTINSUL EQUIPAMENTOS DE PREVENCAO CONTRA INCENDIO LTDA EPP","ESTINSUL"
1040,000,"MADEIREIRA HERVAL LTDA","TAQI"
1367,000,"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS","ECT - SERTORIO POA"
970,000,"MDS EMPREENDIMENTOS IMOBILIARIOS LTDA - EPP","MDS IMOBILIARIA"
971,000,"JORNADA E COELHO COMERCIALIZACAO DE IMOVEIS LTDA - ME","JORNADA E COELHO"
1044,000,"REITER TRANSPORTES E LOGISTICA LTDA","REITERLOG"
1054,000,"NEW GLASS VIDROS AUTOMOTIVOS LTDA ME","NEW GLASS VIDROS AUTOMOTIVOS LTDA ME"
1055,000,"AUXILIADORA PREDIAL LTDA","AUXILIADORA PREDIAL"
1056,000,"CLF PLASTICOS LTDA","CLF"
1052,000,"PRESTEX ENCOMENDAS EXPRESSAS LTDA",
1057,000,"SCAN ELECTRONIC EQUIPAMENTOS INDUSTRIAIS LTDA","SCAN DO BRASIL"
1062,000,"CASSOL MATERIAIS DE CONSTRUÇÃO LTDA","CASSOL CENTERLAR"
1065,000,"PATRULHA SUL MONITORAMENTO E SERVIÇOS EMPRESARIAIS LTDA","PATRULHA SUL"
1060,000,"MARCO AURELIO PINHEIRO BARROS","ELITTE UNIFORMES"
1063,000,"PEDRO ALCINO ROSA DA SILVEIRA - ME","HAWAI PESCA CLUB"
1077,000,"DIFERENCE CABOS COMERCIO E REPR. LTDA - ME","DIFERENCE CABOS"
1066,000,"LIMA E SONEMANN LTDA ME","MULTI COPIAS"
1053,000,"PLANALTO ENCOMENDAS LTDA","PLANALTO ENCOMENDAS LTDA"
1068,000,"TRANSPORTADORA MINUANO LTDA","EXPRESSO MINUANO"
1078,000,"PROFIOS PRODUTOS ELETRICOS LTDA",
1067,000,"TAE YOUNG BRASIL LTDA","TAE YOUNG BRASIL LTDA"
1090,000,"SOB SCHURTER OKW DO BRASIL LTDA","SOB SCHURTER OKW DO BRASIL LTDA"
1091,000,"V.M. MARQUES","MERCADO MARQUES"
1099,000,"BONESMAQ AUTOMAÇÃO E SERVIÇOS EIRELI",
1100,000,"DS MULLER TRANSPORTES E LOGISTICA LTDA","JA TRAZ TRANSPORTE E LOGISTICA LTDA"
1071,000,"RICARDO RAMOS CORREA - ME","AVATEC"
1073,000,"BILHARES ASA BRANCA LTDA",
1072,000,"PRIMARY CARE PROD. MEDICOS HOSPIT. E DE SERGURANÇA LTDA - ME","PRIMARY CARE"
1101,000,"MADEM S/A INDÚSTRIA E COMÉRCIO DE MADEIRAS E EMBALAGENS","MADEM"
1102,000,"INDUSTRIA METALURGICA IMEPP LTDA","IMEPP"
1070,000,"THYSSENKRUPP ELEVADORES S.A",
1069,000,"APTA VEICULOS E REPRESENTAÇÕES COMERCIAIS LTDA","MOVIDA RENT A CAR"
1085,000,"DAY BRASIL S/A","DAY BRASIL"
1096,000,"JAVI PERSONALIZAÇÕES LTDA - ME","JAVI PERSONALIZAÇÕES LTDA"
1103,000,"B&B COMÉRCIO DE MATERIAIS ELÉTRICOS LTDA","B&B MATERIAIS ELÉTRICOS"
1104,000,"EGF - EQUIPAMENTOS INDUSTRIAIS LTDA","EGF EQUIPAMENTOS INDUSTRIAIS LTDA"
1074,000,"DETRAN - SISTEMA INTEGRADO DE TRANSITO","DETRAN"
1110,000,"RESULTS ASSESSORIA E ADMNISTRACAO LTDA","TRAVELINN"
